id,category,filename,width_m,depth_m,height_m,vertices,triangles,uv_layers,material_slots,materials,base_color_texture,roughness_texture,emissive_texture,normal_texture,metallic_texture,glb_size_kb,validation
RES_01,Residential,RES_01.glb,19.163,16.425,53.565,84,132,1,2,MAT_Residential_Atlas; MAT_Beacon_Red,cyberpunk-residential-buildings-atlas_diffuse.png,cyberpunk-residential-buildings-atlas_roughness.png,cyberpunk-residential-buildings-atlas_emissive.png,,,6304.5,"origin is not near footprint center (local center X=-0.035, Y=-0.128)"
RES_02,Residential,RES_02.glb,34.629,21.426,43.996,168,312,1,2,MAT_Residential_Atlas; MAT_Beacon_Red,cyberpunk-residential-buildings-atlas_diffuse.png,cyberpunk-residential-buildings-atlas_roughness.png,cyberpunk-residential-buildings-atlas_emissive.png,,,6312.8,"origin is not near footprint center (local center X=-0.032, Y=-0.117)"
RES_03,Residential,RES_03.glb,23.373,12.978,43.259,154,288,1,2,MAT_Residential_Atlas; MAT_Beacon_Red,cyberpunk-residential-buildings-atlas_diffuse.png,cyberpunk-residential-buildings-atlas_roughness.png,cyberpunk-residential-buildings-atlas_emissive.png,,,6313.7,"origin is not near footprint center (local center X=0.374, Y=-0.404)"
RES_04,Residential,RES_04.glb,25.514,16.731,64.793,196,368,1,2,MAT_Residential_Atlas; MAT_Beacon_Red,cyberpunk-residential-buildings-atlas_diffuse.png,cyberpunk-residential-buildings-atlas_roughness.png,cyberpunk-residential-buildings-atlas_emissive.png,,,6317.5,"origin is not near footprint center (local center X=-0.017, Y=-0.136)"
RES_05,Residential,RES_05.glb,18.033,18.076,88.984,252,482,1,2,MAT_Residential_Atlas; MAT_Beacon_Red,cyberpunk-residential-buildings-atlas_diffuse.png,cyberpunk-residential-buildings-atlas_roughness.png,cyberpunk-residential-buildings-atlas_emissive.png,,,6324.2,OK
RES_06,Residential,RES_06.glb,18.862,13.173,29.726,161,306,1,2,MAT_Residential_Atlas; MAT_Beacon_Red,cyberpunk-residential-buildings-atlas_diffuse.png,cyberpunk-residential-buildings-atlas_roughness.png,cyberpunk-residential-buildings-atlas_emissive.png,,,6314.1,"origin is not near footprint center (local center X=0.042, Y=-0.185)"
RES_07,Residential,RES_07.glb,15.722,8.039,35.104,563,1078,1,2,MAT_Beacon_Red; MAT_Residential_Atlas,cyberpunk-residential-buildings-atlas_diffuse.png,cyberpunk-residential-buildings-atlas_roughness.png,cyberpunk-residential-buildings-atlas_emissive.png,,,6353.6,"origin is not near footprint center (local center X=0.085, Y=1.189)"
RES_08,Residential,RES_08.glb,43.36,14.46,46.172,318,590,1,2,MAT_Residential_Atlas; MAT_Beacon_Red,cyberpunk-residential-buildings-atlas_diffuse.png,cyberpunk-residential-buildings-atlas_roughness.png,cyberpunk-residential-buildings-atlas_emissive.png,,,6330.7,"origin is not near footprint center (local center X=1.270, Y=-0.131)"
RES_09,Residential,RES_09.glb,12.073,10.011,41.532,268,516,1,2,MAT_Residential_Atlas; MAT_Beacon_Red,cyberpunk-residential-buildings-atlas_diffuse.png,cyberpunk-residential-buildings-atlas_roughness.png,cyberpunk-residential-buildings-atlas_emissive.png,,,6325.3,"origin is not near footprint center (local center X=0.085, Y=-0.209)"
RES_10,Residential,RES_10.glb,23.317,24.348,44.11,228,412,1,1,MAT_Residential_Atlas,cyberpunk-residential-buildings-atlas_diffuse.png,cyberpunk-residential-buildings-atlas_roughness.png,cyberpunk-residential-buildings-atlas_emissive.png,,,6318.0,"origin is not near footprint center (local center X=-0.176, Y=-1.121)"
COM_01,Commercial,COM_01.glb,43.081,43.081,145.793,588,1160,1,1,MAT_Commercial_Atlas_C,commercial-building-atlas-C_diffuse.png,commercial-building-atlas-C_roughness.png,commercial-building-atlas-C_emissive.png,commercial-building-atlas-C_normal.png,,5002.1,"origin is not near footprint center (local center X=-0.458, Y=-0.490)"
COM_02,Commercial,COM_02.glb,52.151,28.395,147.432,1039,1878,1,2,MAT_Commercial_Atlas_A; MAT_Beacon_Red,commercial-building-atlas-A_diffuse.jpg,commercial-building-atlas-A_roughness.png,commercial-building-atlas-A_emissive.png,commercial-building-atlas-A_normal.png,,7266.0,"origin is not near footprint center (local center X=-0.258, Y=-0.944)"
COM_03,Commercial,COM_03.glb,62.284,41.81,141.371,1422,1460,2,2,MAT_Commercial_Atlas_A; MAT_Beacon_Red,commercial-building-atlas-A_diffuse.jpg,commercial-building-atlas-A_roughness.png,commercial-building-atlas-A_emissive.png,commercial-building-atlas-A_normal.png,,7259.8,"origin is not near footprint center (local center X=-0.200, Y=-0.249)"
COM_04,Commercial,COM_04.glb,45.922,36.418,141.603,60,96,1,2,MAT_Commercial_Atlas_C; MAT_Beacon_Red,commercial-building-atlas-C_diffuse.png,commercial-building-atlas-C_roughness.png,commercial-building-atlas-C_emissive.png,commercial-building-atlas-C_normal.png,,4975.5,"origin is not near footprint center (local center X=0.672, Y=-0.672)"
COM_05,Commercial,COM_05.glb,58.208,59.885,168.867,770,1444,7,2,MAT_Commercial_Atlas_A; MAT_Beacon_Red,commercial-building-atlas-A_diffuse.jpg,commercial-building-atlas-A_roughness.png,commercial-building-atlas-A_emissive.png,commercial-building-atlas-A_normal.png,,7448.9,"origin is not near footprint center (local center X=0.257, Y=0.306)"
COM_06,Commercial,COM_06.glb,62.967,47.225,153.693,454,378,1,1,MAT_Commercial_Atlas_B,commercial-building-atlas-B_diffuse.jpg,commercial-building-atlas-B_roughness.png,commercial-building-atlas-B_emissive.png,commercial-building-atlas-B_normal.png,,24807.6,OK
COM_07,Commercial,COM_07.glb,65.784,53.254,140.276,346,312,1,1,MAT_Commercial_Atlas_B,commercial-building-atlas-B_diffuse.jpg,commercial-building-atlas-B_roughness.png,commercial-building-atlas-B_emissive.png,commercial-building-atlas-B_normal.png,,24803.6,OK
COM_08,Commercial,COM_08.glb,46.0,38.0,147.02,524,458,1,1,MAT_Commercial_Atlas_B,commercial-building-atlas-B_diffuse.jpg,commercial-building-atlas-B_roughness.png,commercial-building-atlas-B_emissive.png,commercial-building-atlas-B_normal.png,,24813.3,OK
COM_09,Commercial,COM_09.glb,55.381,45.311,190.811,710,762,1,1,MAT_Commercial_Atlas_B,commercial-building-atlas-B_diffuse.jpg,commercial-building-atlas-B_roughness.png,commercial-building-atlas-B_emissive.png,commercial-building-atlas-B_normal.png,,24833.9,"origin is not near footprint center (local center X=0.235, Y=-1.175)"
COM_10,Commercial,COM_10.glb,51.196,41.888,166.805,628,850,1,1,MAT_Commercial_Atlas_B,commercial-building-atlas-B_diffuse.jpg,commercial-building-atlas-B_roughness.png,commercial-building-atlas-B_emissive.png,commercial-building-atlas-B_normal.png,,24838.2,"origin is not near footprint center (local center X=-0.248, Y=-0.188)"
COM_11,Commercial,COM_11.glb,49.279,38.566,169.69,606,606,1,2,MAT_Commercial_Atlas_B; MAT_Beacon_Red,commercial-building-atlas-B_diffuse.jpg,commercial-building-atlas-B_roughness.png,commercial-building-atlas-B_emissive.png,commercial-building-atlas-B_normal.png,,24824.2,"origin is not near footprint center (local center X=0.125, Y=-0.610)"
